aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,computed_aqi
5,988.01,1.24,13.71,205.99,34.33,133.73,156.15,9.88,310.77
5,3150.94,30.4,66.49,0.0,14.9,299.99,428.61,16.09,420.48
5,3524.78,18.11,71.97,0.05,12.16,455.67,571.47,10.64,482.37
5,1922.61,0.03,52.78,27.54,11.09,208.94,266.25,10.13,368.49
5,3738.4,0.64,78.14,11.0,16.69,595.27,748.71,10.26,97.66
5,2269.75,0.0,35.3,95.84,29.33,430.29,475.94,8.49,472.28
5,1762.39,0.0,33.93,73.67,24.32,356.95,395.17,6.02,443.12
5,1535.42,0.0,32.56,66.52,15.74,367.5,405.12,3.93,447.32
5,3257.75,22.8,69.23,0.01,15.02,407.5,517.5,11.15,463.22
5,3685.0,33.98,116.53,0.0,84.88,426.63,596.14,116.53,470.83
5,2670.29,17.43,82.94,0.1,22.41,274.93,395.99,24.32,410.51
5,1789.09,15.2,55.52,0.11,12.04,120.97,206.2,12.16,170.9
5,3044.13,10.51,106.93,0.11,42.44,327.85,374.02,13.55,431.55
5,2510.07,19.67,65.12,0.07,12.04,250.11,348.89,13.68,298.89
4,781.06,0.0,26.73,42.92,6.44,43.46,63.58,22.8,72.05
5,2243.04,20.79,55.52,0.03,10.37,181.27,276.48,9.37,347.25
5,1214.98,0.0,35.99,50.78,8.11,110.56,142.48,8.61,267.77
5,801.09,0.0,20.91,66.52,8.23,74.88,92.61,17.73,148.38
5,881.2,0.0,23.65,71.53,11.09,80.12,98.94,23.31,166.27
5,988.01,0.0,30.16,55.79,11.09,91.15,114.13,25.33,201.51
5,988.01,0.0,27.08,57.22,11.56,105.63,127.34,22.55,250.94
5,1094.82,0.0,28.45,46.49,8.35,127.42,150.72,17.99,305.93
5,4699.71,78.68,45.93,0.0,33.85,442.66,638.86,40.53,477.2
5,4806.52,70.63,79.51,0.0,24.32,486.21,679.41,21.53,494.52
5,2857.21,22.35,65.8,0.03,19.55,363.96,489.97,21.03,485.61
5,1628.88,0.14,45.93,20.74,10.01,176.25,229.16,7.16,343.4
5,2323.15,12.85,51.41,0.14,9.66,264.6,350.46,8.49,406.41
5,2536.77,18.77,61.69,0.04,20.27,276.93,400.3,33.44,411.31
5,2857.21,0.03,85.68,22.89,31.95,335.91,380.37,9.25,434.76
5,1161.58,0.01,38.39,38.27,10.61,102.27,138.12,22.29,239.47
5,1001.36,0.0,31.19,46.49,8.11,92.82,122.71,5.57,207.21
5,1815.8,0.64,52.78,11.0,10.13,194.33,263.54,8.36,357.28
5,5767.82,108.18,55.52,0.0,60.08,501.14,656.03,68.9,74.97
5,2323.15,0.0,51.41,39.34,20.03,294.21,349.21,9.63,418.18
5,1602.17,0.02,42.16,23.6,23.6,296.78,326.46,3.1,419.2
5,720.98,0.0,28.79,53.64,33.85,56.69,66.84,3.71,94.41
5,1134.87,0.12,26.05,16.81,9.42,69.93,105.79,4.24,131.49
5,1508.71,0.0,34.96,42.56,28.85,200.48,219.57,4.18,362.0
5,1895.9,23.47,43.53,0.02,17.88,165.92,217.62,17.73,335.47
5,2216.34,23.25,35.99,0.0,9.18,201.41,277.86,8.23,362.71
5,2189.64,13.86,47.3,0.64,11.68,238.08,310.85,5.45,390.85
5,801.09,0.0,14.4,62.23,7.21,110.29,122.12,6.02,266.85
5,934.6,0.0,18.68,59.37,6.5,106.28,123.04,4.18,253.16
5,1041.41,0.0,27.42,42.2,8.11,96.58,121.24,4.75,220.05
5,1455.31,0.07,39.76,23.6,8.94,171.61,215.26,5.38,339.84
5,3791.81,45.15,50.04,0.0,13.95,374.1,525.09,7.85,449.94
5,3578.19,29.06,47.98,0.01,30.04,486.04,659.53,29.39,494.45
5,2750.4,25.93,61.69,0.01,31.47,519.11,661.03,30.65,77.0
5,2590.18,35.76,30.85,0.0,14.31,301.16,369.21,17.48,420.94
5,1081.47,0.0,18.68,95.84,24.08,298.93,317.86,2.47,420.06
5,2777.1,38.89,31.53,0.0,23.84,356.14,499.59,29.89,499.41
5,1161.58,0.0,23.31,41.49,7.33,209.56,233.59,4.43,368.96
5,1121.52,0.0,16.62,82.25,8.94,280.42,297.1,3.48,412.7
5,3284.45,29.5,50.72,0.0,16.45,326.29,450.63,11.78,430.93
5,1548.77,0.0,23.31,91.55,19.79,303.02,329.92,3.61,421.68
5,1588.82,0.0,30.85,56.51,14.31,291.12,321.06,4.24,416.95
5,1401.9,0.02,27.08,30.4,5.9,218.67,251.22,4.81,375.96
5,1495.36,0.98,40.78,8.14,8.82,146.97,197.7,5.64,320.93
5,1642.23,2.63,45.93,3.93,8.82,174.28,232.12,5.64,341.89
5,2029.42,5.64,40.1,2.48,16.21,320.33,385.99,11.91,428.56
5,2429.96,9.84,56.21,0.77,10.13,299.72,387.92,6.08,420.37
5,1054.76,0.0,24.33,65.8,10.37,158.94,183.47,5.64,330.12
5,1428.6,0.06,38.04,23.6,7.63,146.45,182.03,5.83,320.53
5,2937.32,16.09,61.69,0.09,25.03,346.18,505.75,28.88,438.84
5,2376.56,10.62,63.06,0.37,27.18,297.56,429.42,29.39,419.51
5,2590.18,0.0,47.98,40.05,24.08,339.44,426.01,5.26,436.16
5,1308.44,0.0,23.65,78.68,34.33,339.54,375.69,3.23,436.2
5,2029.42,14.75,40.44,0.12,15.74,174.2,253.84,11.78,341.83
5,1201.63,0.15,35.99,18.95,8.58,137.27,178.14,5.45,313.49
5,734.33,0.0,16.28,70.81,7.51,75.58,91.76,8.61,150.77
5,2323.15,27.94,28.79,0.01,10.01,240.17,325.82,8.49,392.46
5,2483.37,24.14,37.01,0.02,12.4,260.56,365.46,8.87,404.8
5,6729.13,69.74,85.68,0.0,47.21,679.03,903.84,25.84,105.68
5,2403.26,13.52,55.52,0.3,19.07,402.64,530.01,15.45,461.29
5,3097.53,40.23,38.39,0.0,19.55,385.62,535.43,21.03,454.52
5,3150.94,20.79,47.98,0.04,19.31,566.59,711.77,20.52,59.77
5,3257.75,8.83,85.68,0.57,43.87,507.28,652.78,51.17,105.68
5,2643.59,11.74,40.44,0.14,12.16,513.85,638.45,11.91,15.2
5,2429.96,8.49,45.24,0.56,17.41,432.47,557.39,17.48,473.15
5,3337.86,23.47,82.25,0.07,31.47,459.4,602.73,35.97,483.86
5,2456.67,8.72,50.04,0.46,10.61,368.44,480.84,7.35,472.51
5,2243.04,1.15,54.15,10.01,12.16,397.85,488.67,6.33,483.74
5,2403.26,25.93,31.19,0.01,11.68,325.48,427.33,9.37,430.61
5,1895.9,0.04,36.67,28.61,9.42,382.16,437.46,6.59,453.15
5,1535.42,2.57,33.59,3.0,7.99,264.62,320.12,6.65,406.42
5,1522.06,0.42,43.18,13.05,10.85,189.05,261.13,12.41,353.22
5,7476.81,94.77,127.49,0.0,167.85,641.02,915.89,162.13,147.49
5,1789.09,0.04,45.93,26.11,9.54,223.74,299.77,9.12,379.85
5,1121.52,0.0,28.45,53.64,9.42,133.59,172.76,16.72,310.66
5,11856.08,193.12,153.54,0.0,105.86,890.77,1064.67,50.66,173.54
5,4539.49,47.39,59.63,0.0,62.94,365.78,543.66,53.7,446.64
5,1335.14,1.55,36.67,4.83,12.52,133.26,219.57,27.36,310.41
